vote_id,assembly_no,topic_no,title,date,result
67087,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:12,Přijato
67088,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:16,Přijato
67089,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:16,Přijato
67090,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:17,Přijato
67091,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:18,Přijato
67092,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:18,Přijato
67093,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:19,Přijato
67094,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:19,Přijato
67095,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:20,Přijato
67096,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:21,Zamítnuto (zmatečné)
67097,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:27,Přijato
67098,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:28,Přijato
67099,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:28,Přijato
67100,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:29,Přijato
67101,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:30,Přijato
67102,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:30,Přijato
67103,2,18,Náv. na potvrzení předsedů výborů PS,30. 11. 2017 9:31,Přijato
67104,2,30,Návrh časového harmonogramu projednávání SR 2018,30. 11. 2017 9:38,Přijato
67105,2,31,Žádost o vyslovení souhlasu s tr. stíháním poslanců,30. 11. 2017 9:41,Přijato
67106,2,32,Žádost o vyslovení souhlasu PS k trestnímu stíhání poslance,30. 11. 2017 9:44,Přijato
67107,2,33,Návrh na změny ve složení orgánů Poslanecké sněmovny,30. 11. 2017 9:47,Přijato
67108,3,0,Procedurální hlasování,5. 12. 2017 14:01,Přijato
67109,3,0,Procedurální hlasování,5. 12. 2017 14:06,Přijato
67110,3,1,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),5. 12. 2017 17:23,Zamítnuto
67111,3,1,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),5. 12. 2017 17:24,Zamítnuto
67112,3,1,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),5. 12. 2017 17:30,Přijato
67113,3,1,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),5. 12. 2017 17:31,Přijato
67114,3,2,Novela z. o léčivech - EU (sněmovní tisk 5),5. 12. 2017 18:25,Přijato
67115,3,2,Novela z. o léčivech - EU (sněmovní tisk 5),5. 12. 2017 19:32,Přijato
67116,3,2,Novela z. o léčivech - EU (sněmovní tisk 5),5. 12. 2017 19:35,Zamítnuto
67117,3,2,Novela z. o léčivech - EU (sněmovní tisk 5),5. 12. 2017 19:36,Zamítnuto
67118,3,2,Novela z. o léčivech - EU (sněmovní tisk 5),5. 12. 2017 19:37,Přijato
67119,3,0,Procedurální hlasování,5. 12. 2017 19:39,Přijato
67120,4,0,Procedurální hlasování,12. 12. 2017 14:03,Přijato
67121,4,0,Pořad schůze,12. 12. 2017 14:18,Přijato
67122,4,0,Pořad schůze,12. 12. 2017 14:19,Zamítnuto
67123,4,0,Pořad schůze,12. 12. 2017 14:33,Přijato
67124,4,11,Návrh na ustavení nebo volbu členů stálých komisí PS,12. 12. 2017 14:37,Přijato
67125,4,11,Návrh na ustavení nebo volbu členů stálých komisí PS,12. 12. 2017 14:39,Přijato
67126,4,11,Návrh na ustavení nebo volbu členů stálých komisí PS,12. 12. 2017 14:42,Přijato
67127,4,12,Návrh na volbu členů nebo ustavení SK GIBS,12. 12. 2017 14:45,Přijato
67128,4,13,Návrh na volbu členů nebo ustavení SK KPO,12. 12. 2017 14:47,Přijato
67129,4,14,Návrh na volbu členů nebo ustavení SK CEÚ,12. 12. 2017 14:49,Přijato
67130,4,15,Návrh na volbu členů nebo ustavení SK BIS,12. 12. 2017 14:52,Přijato
67131,4,16,Návrh na volbu členů nebo ustavení SK NBÚ,12. 12. 2017 14:54,Přijato
67132,4,17,Návrh na volbu členů nebo ustavení SK VZ,12. 12. 2017 14:55,Přijato
67133,4,18,Návrh na volbu členů nebo ustavení SK FAÚ,12. 12. 2017 14:57,Přijato
67134,4,19,Návrh na volbu členů nebo ustavení SK NÚKIB,12. 12. 2017 14:59,Přijato
67135,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:04,Přijato
67136,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:05,Přijato
67137,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:06,Přijato
67138,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:07,Přijato
67139,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:09,Přijato
67140,4,20,Návrh na volbu členů do stálých delegací Parlamentu,12. 12. 2017 15:10,Přijato
67141,4,24,Zpráva o plnění státního rozpočtu ČR za 1. pololetí 2017 (sněmovní tisk 4),12. 12. 2017 15:32,Přijato
67142,4,25,Zpr. o činnosti kontrolní rady GA ČR říjen 2016 - září 2017 (sněmovní tisk 6),12. 12. 2017 15:44,Přijato
67143,4,25,Zpr. o činnosti kontrolní rady GA ČR říjen 2016 - září 2017 (sněmovní tisk 6),12. 12. 2017 15:44,Přijato
67144,4,26,Zpráva o stavu zemědělství ČR za rok 2016 (sněmovní tisk 7),12. 12. 2017 15:55,Přijato
67145,4,27,Výroční zprávy a účetní závěrky zdr. pojišťoven za rok 2016 (sněmovní tisk 10),12. 12. 2017 16:06,Přijato
67146,4,28,Rozh. vl. o přeletech a průj.ozbroj.sil přes území ČR - 2018 (sněmovní tisk 14),12. 12. 2017 16:17,Přijato
67147,4,2,Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU (sněmovní tisk 12),12. 12. 2017 16:50,Zamítnuto (zmatečné)
67148,4,2,Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU (sněmovní tisk 12),12. 12. 2017 16:51,Zamítnuto (zmatečné)
67149,4,2,Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU (sněmovní tisk 12),12. 12. 2017 16:53,Zamítnuto
67150,4,2,Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU (sněmovní tisk 12),12. 12. 2017 16:54,Přijato
67151,4,3,Změny přílohy III Rotterdamské úmluvy (sněmovní tisk 11),12. 12. 2017 17:00,Přijato
67152,4,29,Návrh na zřízení Vyšetřovací komise Poslanecké sněmovny k OKD,12. 12. 2017 18:07,Přijato
67153,4,0,Pořad schůze,15. 12. 2017 9:06,Přijato
67154,4,0,Pořad schůze,15. 12. 2017 9:07,Přijato
67155,4,10,Návrh na změny ve složení orgánů Poslanecké sněmovny,15. 12. 2017 9:12,Přijato
67156,4,10,Návrh na změny ve složení orgánů Poslanecké sněmovny,15. 12. 2017 9:12,Přijato
67157,4,10,Návrh na změny ve složení orgánů Poslanecké sněmovny,15. 12. 2017 9:15,Přijato
67158,4,32,Návrh na potvrzení předsedy výboru PS,15. 12. 2017 14:23,Přijato
67159,4,0,Pořad schůze,19. 12. 2017 14:05,Přijato
67160,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 16:10,Zamítnuto
67161,4,0,Procedurální hlasování,19. 12. 2017 18:08,Přijato
67162,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:21,Přijato
67163,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:28,Zamítnuto
67164,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:29,Přijato
67165,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:29,Zamítnuto
67166,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:30,Zamítnuto
67167,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:31,Přijato
67168,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:31,Přijato
67169,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:32,Přijato
67170,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:33,Přijato
67171,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:33,Přijato
67172,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:34,Přijato
67173,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:34,Přijato
67174,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:35,Přijato
67175,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:36,Přijato
67176,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:36,Přijato
67177,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:38,Přijato
67178,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:39,Zamítnuto
67179,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:39,Zamítnuto
67180,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:40,Zamítnuto
67181,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:41,Zamítnuto
67182,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:42,Zamítnuto
67183,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:42,Zamítnuto
67184,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:43,Zamítnuto
67185,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:44,Zamítnuto
67186,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:45,Zamítnuto
67187,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:45,Zamítnuto
67188,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:46,Zamítnuto
67189,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:46,Zamítnuto
67190,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:47,Zamítnuto
67191,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:48,Zamítnuto
67192,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:48,Zamítnuto
67193,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:49,Zamítnuto
67194,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:50,Zamítnuto
67195,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:50,Zamítnuto
67196,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:51,Zamítnuto
67197,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:52,Zamítnuto
