vote_id,party,total,yes,no,not_in,refrained,excused
67091,ANO,78,68,0,2,3,5

67091,ODS,25,23,0,0,0,2

67091,Piráti,22,20,0,0,0,2

67091,SPD,22,20,0,0,0,2

67091,ČSSD,15,7,0,1,0,7

67091,KSČM,15,13,0,1,0,1

67091,KDU-ČSL,10,6,0,0,1,3

67091,TOP09,7,4,0,1,0,2

67091,STAN,6,6,0,0,0,0

67092,ANO,78,71,0,2,0,5

67092,ODS,25,23,0,0,0,2

67092,Piráti,22,20,0,0,0,2

67092,SPD,22,20,0,0,0,2

67092,ČSSD,15,7,0,1,0,7

67092,KSČM,15,13,0,1,0,1

67092,KDU-ČSL,10,6,0,0,1,3

67092,TOP09,7,4,0,1,0,2

67092,STAN,6,6,0,0,0,0

67093,ANO,78,71,0,2,0,5

67093,ODS,25,21,1,0,1,2

67093,Piráti,22,13,3,0,4,2

67093,SPD,22,19,0,0,1,2

67093,ČSSD,15,2,0,0,6,7

67093,KSČM,15,13,0,1,0,1

67093,KDU-ČSL,10,5,0,0,2,3

67093,TOP09,7,4,0,1,0,2

67093,STAN,6,6,0,0,0,0

67094,ANO,78,71,0,2,0,5

67094,ODS,25,23,0,0,0,2

67094,Piráti,22,20,0,0,0,2

