vote_id,party,total,yes,no,not_in,refrained,excused
67034,KDU-ČSL,10,8,0,1,0,1

67034,TOP09,7,5,0,0,0,2

67034,STAN,6,6,0,0,0,0

67035,ANO,78,75,0,2,0,1

67035,ODS,25,25,0,0,0,0

67035,Piráti,22,19,0,0,2,1

67035,SPD,22,21,0,0,0,1

67035,ČSSD,15,10,0,2,0,3

67035,KSČM,15,14,0,0,0,1

67035,KDU-ČSL,10,8,0,1,0,1

67035,TOP09,7,5,0,0,0,2

67035,STAN,6,6,0,0,0,0

67036,ANO,78,75,0,2,0,1

67036,ODS,25,25,0,0,0,0

67036,Piráti,22,21,0,0,0,1

67036,SPD,22,21,0,0,0,1

67036,ČSSD,15,11,0,1,0,3

67036,KSČM,15,14,0,0,0,1

67036,KDU-ČSL,10,8,0,1,0,1

67036,TOP09,7,5,0,0,0,2

67036,STAN,6,6,0,0,0,0

67037,ANO,78,73,0,1,3,1

67037,ODS,25,23,0,0,2,0

67037,Piráti,22,22,0,0,0,0

67037,SPD,22,21,0,0,0,1

67037,ČSSD,15,12,0,1,0,2

67037,KSČM,15,12,0,0,2,1

67037,KDU-ČSL,10,8,0,0,1,1

67037,TOP09,7,4,0,0,1,2

67037,STAN,6,6,0,0,0,0

67038,ANO,78,72,0,1,4,1

67038,ODS,25,23,0,0,2,0

67038,Piráti,22,22,0,0,0,0

67038,SPD,22,21,0,0,0,1

67038,ČSSD,15,12,0,1,0,2

67038,KSČM,15,13,0,0,1,1

67038,KDU-ČSL,10,8,0,0,1,1

67038,TOP09,7,4,0,0,1,2

67038,STAN,6,6,0,0,0,0

67039,ANO,78,72,0,1,4,1

67039,ODS,25,23,0,0,2,0

67039,Piráti,22,22,0,0,0,0

67039,SPD,22,21,0,0,0,1

67039,ČSSD,15,12,0,1,0,2

67039,KSČM,15,13,0,0,1,1

67039,KDU-ČSL,10,8,0,0,1,1

67039,TOP09,7,4,0,0,1,2

67039,STAN,6,6,0,0,0,0

67040,ANO,78,74,0,1,2,1

67040,ODS,25,23,0,0,2,0

67040,Piráti,22,22,0,0,0,0

67040,SPD,22,21,0,0,0,1

67040,ČSSD,15,12,0,1,0,2

67040,KSČM,15,13,0,0,1,1

67040,KDU-ČSL,10,7,0,0,2,1

67040,TOP09,7,4,0,0,1,2

67040,STAN,6,6,0,0,0,0

67041,ANO,78,74,0,1,2,1

